[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  8   2  86   4   0   1| 741M 52.6M 1688M 96.4M|   0    52B|   0     0 
  4   2  94   1   0   0| 741M 52.6M 1688M 96.4M|   0     0 |   0    40k
  4   2  95   0   0   0| 741M 52.6M 1688M 96.4M|   0    52B|   0     0 
  7   3  87   4   0   0| 741M 52.6M 1688M 96.3M|   0     0 |   0     0 
 11   6  83   0   0   0| 741M 52.6M 1690M 94.3M|   0    52B|   0    16k
  4   1  93   1   0   0| 741M 52.6M 1690M 94.1M|   0     0 |   0     0 
  6   6  88   0   0   0| 741M 52.6M 1690M 94.0M|   0    52B|   0    12k
  6   1  92   1   0   0| 741M 52.6M 1690M 94.0M|   0     0 |   0    40k
  4   2  91   4   0   0| 741M 52.6M 1690M 94.0M|   0    52B|   0     0 
  4   2  94   0   0   0| 741M 52.6M 1698M 86.2M|   0     0 |   0    12k
  5   1  95   0   0   0| 741M 52.6M 1698M 86.2M|   0    52B|   0     0 
  4   1  91   4   0   0| 741M 52.6M 1698M 86.2M|   0     0 |   0     0 
  4   2  94   0   0   0| 741M 52.6M 1698M 86.2M|   0    52B|   0     0 
  4   2  89   6   0   0| 741M 52.6M 1698M 86.2M|   0     0 |   0    16k
  4   1  88   8   0   0| 741M 52.6M 1698M 86.0M|   0    52B|   0  7968k
  4   2  94   0   0   0| 741M 52.6M 1698M 86.0M|   0     0 |   0     0 
  5  17  75   4   0   0| 742M 52.6M 1698M 85.6M|   0    52B|   0    12k
  4   2  95   0   0   0| 741M 52.6M 1698M 85.7M|   0     0 |   0     0 
  4   2  91   4   0   0| 741M 52.6M 1698M 85.7M|   0    52B|   0     0 
  4   2  92   3   0   0| 741M 52.6M 1698M 85.7M|   0     0 |   0    52k
  4   2  95   0   0   0| 741M 52.6M 1698M 85.7M|   0    52B|   0     0 
  4   2  90   4   0   0| 741M 52.6M 1698M 85.7M|   0     0 |   0     0 
  5   1  94   0   0   0| 741M 52.6M 1698M 85.7M|   0    52B|   0     0 
  4   2  91   4   0   0| 741M 52.6M 1698M 85.7M|   0     0 |   0     0 
  3   2  95   0   0   0| 741M 52.6M 1695M 88.8M|   0    52B|   0    20k
  4   2  93   1   0   1| 741M 52.6M 1695M 88.8M|   0     0 |   0    16k
  3  17  75   4   0   0| 742M 52.6M 1695M 88.8M|   0    52B|   0  8192B
  6   9  85   0   0   0| 741M 52.6M 1695M 88.9M|   0     0 |   0  4096B
  4   1  95   0   0   0| 741M 52.6M 1695M 88.9M|   0    52B|   0     0 
  4   2  93   1   0   0| 741M 52.6M 1695M 88.9M|   0     0 |   0    12k
  4   2  95   0   0   0| 741M 52.6M 1695M 88.9M|   0    52B|   0     0 
  4   2  89   6   0   0| 741M 52.6M 1695M 88.9M|   0     0 |   0    40k
  3   3  95   0   0   0| 741M 52.6M 1695M 88.9M|   0    52B|   0     0 
  4   2  94   0   0   0| 741M 52.6M 1695M 88.9M|   0     0 |   0     0 
  3   2  93   2   0   0| 741M 52.6M 1694M 89.3M|   0    52B|   0    12k
  4   2  95   0   0   0| 741M 52.6M 1694M 89.3M|   0     0 |   0     0 
  3   2  91   4   0   0| 741M 52.6M 1694M 89.3M|   0    52B|   0     0 
  6  15  77   2   0   0| 741M 52.6M 1694M 89.4M|   0     0 |   0    28k
  4   1  95   0   0   0| 741M 52.6M 1694M 89.5M|   0    52B|   0     0 
  4   3  90   4   0   0| 741M 52.6M 1702M 81.8M|   0     0 |   0    12k
  4   2  95   0   0   0| 741M 52.6M 1702M 81.8M|   0    52B|   0     0 
  4   2  91   4   0   0| 741M 52.6M 1702M 81.8M|   0     0 |   0     0 
  5   1  92   3   0   0| 741M 52.6M 1702M 81.8M|   0    52B|   0    40k
  4   2  94   0   0   0| 741M 52.6M 1702M 81.8M|   0     0 |   0     0 
  4   2  84  11   0   0| 741M 52.6M 1702M 81.8M|   0    52B|   0  8052k
  4   2  94   0   0   0| 741M 52.6M 1702M 81.8M|   0     0 |   0     0 
  4   2  88   7   0   0| 741M 52.7M 1702M 81.8M|   0    52B|   0    48k
  5  10  84   1   0   0| 741M 52.7M 1702M 81.7M|   0     0 |   0    12k
  4   1  95   0   0   0| 741M 52.7M 1702M 81.7M|   0    52B|   0     0 
  4   1  91   4   0   0| 741M 52.7M 1702M 81.7M|   0     0 |   0    12k
  4   2  94   0   0   0| 741M 52.7M 1702M 81.7M|   0    52B|   0     0 
  3   2  93   3   0   1| 741M 52.7M 1702M 81.7M|   0     0 |   0    60k
  4   1  93   2   0   0| 741M 52.7M 1702M 81.7M|   0    52B|   0     0 
  3   1  96   0   0   0| 741M 52.7M 1702M 81.7M|   0     0 |   0     0 
  4   2  91   4   0   0| 741M 52.7M 1702M 81.7M|   0    52B|   0    12k
  2   2  96   0   0   0| 741M 52.7M 1702M 81.7M|   0     0 |   0     0 
  5   1  90   4   0   0| 741M 52.7M 1702M 81.7M|   0    52B|   0     0 
  7  13  78   3   0   0| 742M 52.7M 1702M 81.1M|   0     0 |   0    28k
  8   3  89   0   0   0| 742M 52.7M 1703M 80.9M|   0    52B|   0     0 
  5   3  88   4   0   0| 742M 52.7M 1703M 80.6M|   0     0 |   0    16k
  9   2  89   0   0   0| 742M 52.7M 1703M 80.6M|   0    52B|   0     0 
  8   2  86   4   0   0| 742M 52.7M 1702M 80.8M|   0     0 |   0     0 
 10   4  86   0   0   0| 742M 52.7M 1702M 80.9M|   0    52B|   0     0 
  6   3  89   2   0   0| 742M 52.7M 1706M 77.3M|   0     0 |   0    40k
  8   4  85   4   0   0| 742M 52.7M 1706M 77.6M|   0    52B|   0    12k
  8   4  88   0   0   0| 741M 52.7M 1709M 75.0M|   0     0 |   0     0 
 13   8  75   4   0   0| 741M 52.7M 1709M 75.0M|   0    52B|   0     0 
  5   7  88   0   0   0| 741M 52.7M 1709M 75.1M|   0     0 |   0  4096B
  4  12  84   0   0   0| 742M 52.7M 1709M 74.8M|   0    52B|   0  8192B
  3   3  88   6   0   0| 742M 52.7M 1717M 67.0M|   0     0 |   0    52k
  3   2  94   1   0   0| 742M 52.7M 1717M 67.0M|   0    52B|   0     0 
  3  11  86   0   0   0| 742M 52.7M 1717M 66.5M|   0     0 |   0     0 
  3   2  94   2   0   0| 742M 52.7M 1717M 66.6M|   0    52B|   0     0 
  2   2  96   0   0   0| 742M 52.7M 1717M 66.6M|   0     0 |   0     0 
  4   2  78  17   0   0| 742M 52.7M 1717M 66.6M|   0    52B|   0  8052k
  5   1  95   0   0   0| 742M 52.7M 1717M 66.6M|   0     0 |   0     0 
  4   1  95   0   0   1| 742M 52.7M 1717M 66.5M|   0    52B|   0     0 
  3   1  94   2   0   0| 742M 52.7M 1717M 66.6M|   0     0 |   0     0 
  4  11  85   0   0   1| 742M 52.7M 1717M 67.0M|   0    52B|   0    12k
  7   1  87   5   0   0| 742M 52.7M 1717M 67.0M|   0     0 |   0    44k
  8   3  88   0   0   0| 742M 52.7M 1717M 67.0M|   0    52B|   0     0 
  7   4  89   0   0   0| 742M 52.7M 1717M 67.0M|   0     0 |   0     0 
  6   4  86   4   0   0| 741M 52.7M 1717M 67.1M|   0    52B|   0     0 
  9   3  88   0   0   0| 741M 52.7M 1715M 69.4M|   0     0 |   0     0 
  6   2  88   4   0   0| 741M 52.7M 1715M 69.3M|   0    52B|   0    20k
 11   4  82   3   0   0| 742M 52.7M 1715M 68.6M|   0     0 |   0    16k
  8   3  90   0   0   0| 742M 52.7M 1715M 68.7M|   0    52B|   0     0 
  4   3  90   3   0   0| 742M 52.7M 1715M 68.7M|   0     0 |   0     0 
  6  20  74   0   0   0| 742M 52.7M 1715M 68.4M|   0    52B|   0    12k
  4   2  91   3   0   0| 742M 52.7M 1715M 68.5M|   0     0 |   0    12k
  4   2  94   1   0   0| 742M 52.7M 1715M 68.5M|   0    52B|   0     0 
  3   3  92   3   0   0| 742M 52.7M 1715M 68.5M|   0     0 |   0    40k
  4   2  91   4   0   0| 742M 52.7M 1715M 68.5M|   0    52B|   0     0 
  5   3  87   6   0   0| 742M 52.7M 1715M 68.5M|   0     0 |   0     0 
  8   3  88   0   0   1| 742M 52.7M 1712M 71.4M|   0    52B|   0    12k
  7   5  85   4   0   0| 742M 52.7M 1722M 60.9M|   0     0 |   0     0 
 10   5  76  10   0   0| 742M 52.8M 1721M 62.2M|   0    52B|   0   344k
  7   2  87   4   0   1| 742M 52.8M 1717M 65.6M|   0     0 |   0     0 
  8  13  79   0   0   0| 742M 52.8M 1717M 65.9M|   0    52B|   0  8192B
 11   8  81   0   0   0| 742M 52.8M 1725M 58.7M|   0     0 |   0    16k
 10   2  83   4   0   0| 742M 52.8M 1725M 58.6M|   0    52B|   0     0 
  6   3  91   0   0   0| 742M 52.8M 1725M 58.6M|   0     0 |   0     0 
  7   2  85   6   0   1| 742M 52.8M 1725M 58.6M|   0    52B|   0    60k
  7   2  92   0   0   0| 742M 52.8M 1725M 58.6M|   0     0 |   0     0 
  8   5  81   6   0   0| 742M 52.8M 1725M 58.6M|   0    52B|   0  7996k
  8   3  86   4   0   0| 742M 52.8M 1725M 58.6M|   0     0 |   0     0 
  9   4  87   0   0   0| 742M 52.8M 1725M 58.6M|   0    52B|   0     0 
  6   1  89   4   0   0| 742M 52.8M 1725M 58.6M|   0     0 |   0     0 
  4   2  94   0   0   0| 742M 52.8M 1725M 58.6M|   0    52B|   0     0 
  5  18  75   2   0   0| 742M 52.8M 1725M 58.2M|   0     0 |   0    68k
  5   2  90   4   0   0| 742M 52.8M 1725M 58.2M|   0    52B|   0     0 
  5   3  93   0   0   0| 742M 52.8M 1725M 58.2M|   0     0 |   0     0 
  4   3  92   1   0   1| 742M 52.8M 1725M 58.2M|   0    52B|   0     0 
  5   1  91   3   0   0| 742M 52.8M 1725M 58.2M|   0     0 |   0     0 
  4   3  91   3   0   0| 742M 52.8M 1722M 61.4M|   0    52B|   0    40k
  4   2  90   4   0   0| 742M 52.8M 1722M 61.4M|   0     0 |   0     0 
  5   2  93   0   0   0| 742M 52.8M 1722M 61.4M|   0    52B|   0     0 
  5   2  93   0   0   0| 742M 52.8M 1722M 61.4M|   0     0 |   0     0 
  3   3  90   4   0   0| 742M 52.8M 1722M 61.4M|   0    52B|   0     0 
  6  22  63   9   0   0| 742M 52.8M 1722M 61.2M|   0     0 |   0    60k
 18  19  61   2   0   0| 742M 52.8M 1721M 61.6M|   0    52B|   0     0 
  4   4  92   0   0   0| 742M 52.8M 1721M 61.6M|   0     0 |   0     0 
  6   2  92   0   0   1| 742M 52.8M 1721M 61.6M|   0    52B|   0     0 
  8   3  84   6   0   0| 742M 52.8M 1721M 61.6M|   0     0 |   0    60k
 20   9  71   0   0   0| 742M 52.8M 1727M 56.4M|   0    52B|   0    12k
  5   1  90   4   0   0| 742M 52.8M 1723M 60.2M|   0     0 |   0     0 
  5   1  94   0   0   0| 742M 52.8M 1723M 60.2M|   0    52B|   0     0 
  2   4  94   0   0   0| 742M 52.8M 1720M 63.1M|   0     0 |   0     0 
  4   2  94   1   0   0| 742M 52.8M 1720M 63.1M|   0    52B|   0     0 
  9   4  85   3   0   0| 742M 52.8M 1727M 55.6M|   0     0 |   0    60k
 11  10  75   4   0   0| 742M 52.8M 1727M 55.8M|   0    52B|   0    12k
  7   2  91   0   0   1| 742M 52.8M 1727M 55.8M|   0     0 |   0     0 
  4   1  93   2   0   0| 742M 52.8M 1727M 55.8M|   0    52B|   0     0 
  7   5  87   1   0   0| 742M 52.8M 1727M 55.8M|   0     0 |   0     0 
  7   4  77  12   0   1| 742M 52.8M 1724M 58.8M|   0    52B|   0  8012k
  9   2  86   4   0   0| 742M 52.8M 1724M 58.8M|   0     0 |   0     0 
  8   5  87   0   0   0| 742M 52.8M 1730M 52.7M|   0    52B|   0     0 
  4   2  94   0   0   0| 742M 52.8M 1730M 52.8M|   0     0 |   0     0 
  8   5  85   2   0   0| 742M 52.8M 1738M 45.0M|   0    52B|   0     0 
  4   1  93   3   0   0| 742M 52.8M 1738M 45.1M|   0     0 |   0    36k
  5  26  67   2   0   0| 743M 52.8M 1738M 44.8M|   0    52B|   0    12k
  7   4  89   0   0   0| 742M 52.8M 1738M 45.0M|   0     0 |   0     0 
  4   2  91   4   0   1| 742M 52.8M 1738M 45.0M|   0    52B|   0     0 
  3   1  96   0   0   0| 742M 52.8M 1738M 45.0M|   0     0 |   0     0 
  5   1  95   0   0   0| 743M 52.8M 1737M 45.1M|   0    52B|   0    12k
  3   2  92   4   0   0| 743M 52.8M 1737M 45.1M|   0     0 |   0    40k
  4   2  95   0   0   0| 743M 52.8M 1737M 45.1M|   0    52B|   0     0 
  4   2  91   4   0   0| 743M 52.8M 1737M 45.1M|   0     0 |   0     0 
  4   1  95   0   0   0| 743M 52.8M 1737M 45.1M|   0    52B|   0     0 
  3   2  95   0   0   0| 742M 52.8M 1737M 45.1M|   0     0 |   0    12k
  3   2  90   4   0   0| 742M 52.8M 1737M 45.3M|   0    52B|   0  4096B
  4  15  76   5   0   0| 742M 52.8M 1737M 45.3M|   0     0 |   0    48k
  4   1  91   4   0   0| 742M 52.8M 1737M 45.3M|   0    52B|   0     0 
  4   2  95   0   0   0| 742M 52.8M 1737M 45.3M|   0     0 |   0     0 
  3   4  93   0   0   1| 742M 52.8M 1735M 47.4M|   0    52B|   0    12k
  4   1  91   4   0   0| 742M 52.8M 1735M 47.4M|   0     0 |   0     0 
  3   2  93   3   0   0| 742M 52.9M 1735M 47.4M|   0    52B|   0    40k
  5   2  94   0   0   0| 742M 52.9M 1735M 47.4M|   0     0 |   0     0 
  4   2  91   4   0   0| 742M 52.9M 1735M 47.4M|   0    52B|   0     0 
  7   5  88   0   0   0| 742M 52.9M 1743M 39.6M|   0     0 |   0    12k
  7   3  85   5   0   0| 742M 52.9M 1743M 39.6M|   0    52B|   0     0 
  4   6  90   0   0   0| 743M 52.9M 1743M 39.2M|   0     0 |   0    12k
  3   2  93   3   0   0| 743M 52.9M 1743M 39.2M|   0    52B|   0    32k
  4   1  92   4   0   0| 743M 52.9M 1743M 39.2M|   0     0 |   0     0 
  4   2  87   8   0   0| 743M 52.9M 1743M 39.5M|   0    52B|   0  8024k
