[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  9  10  76   2   0   2| 739M 52.3M 1748M 38.9M|   0     0 | 112k  144k
  7   2  87   4   0   0| 739M 52.3M 1742M 44.8M| 112B  168B|   0     0 
 13   5  82   0   0   1| 739M 52.3M 1742M 44.9M|   0    52B|   0     0 
  7   4  90   0   0   0| 739M 52.3M 1742M 44.9M|   0     0 |   0     0 
  8   8  81   3   0   0| 739M 52.3M 1742M 45.1M|   0    52B|   0    12k
  7   5  88   0   0   0| 739M 52.3M 1742M 45.1M|   0     0 |   0     0 
  8   4  82   7   0   0| 739M 52.3M 1742M 45.1M| 140B  262B|   0    88k
  6   5  89   0   0   0| 739M 52.3M 1742M 45.1M|   0     0 |   0     0 
  6   3  91   0   0   0| 739M 52.3M 1742M 45.2M|   0    52B|   0     0 
  5   3  88   4   0   0| 739M 52.3M 1742M 45.2M|   0     0 |   0     0 
  6   2  92   0   0   0| 739M 52.3M 1742M 45.2M|   0    52B|   0     0 
  6   3  86   4   0   1| 739M 52.3M 1742M 45.2M| 112B  168B|   0   108k
  7   4  87   2   0   0| 739M 52.3M 1742M 45.3M|   0    52B|   0    20k
  7   5  88   0   0   0| 739M 52.3M 1742M 45.3M|   0     0 |   0     0 
  9   9  79   4   0   0| 739M 52.3M 1742M 45.2M|   0    52B|   0    12k
  8   6  86   0   0   0| 739M 52.3M 1742M 45.2M|   0     0 |   0     0 
 16   9  75   0   0   0| 739M 52.3M 1748M 39.2M|  56B  122B|   0     0 
 22  10  64   4   0   0| 739M 52.3M 1751M 36.1M|   0     0 |   0     0 
  9   4  83   4   0   0| 739M 52.3M 1751M 36.1M|   0    52B|   0    36k
  9   4  82   4   0   0| 739M 52.3M 1751M 36.1M|   0     0 |   0     0 
 10   4  86   0   0   0| 739M 52.3M 1751M 36.1M|   0    52B|   0     0 
  9   3  89   0   0   0| 739M 52.3M 1750M 36.1M|  28B   42B|   0     0 
 19   9  69   2   0   0| 740M 49.4M 1752M 36.8M|   0    52B|   0   160k
  9   2  89   0   0   1| 740M 49.4M 1752M 36.8M|   0     0 |   0     0 
  4  14  73   9   0   0| 739M 49.4M 1752M 36.9M|   0    52B|  88k   28k
  7   7  86   0   0   0| 739M 49.4M 1752M 37.7M|   0     0 |   0     0 
 11   4  85   0   0   0| 739M 49.4M 1752M 37.4M|   0    52B|   0     0 
  9   4  81   7   0   0| 740M 49.4M 1755M 33.7M|   0     0 | 112k   12k
  6   2  92   0   0   0| 740M 49.4M 1755M 33.7M|   0    52B|   0     0 
  4   2  90   4   0   0| 740M 49.4M 1755M 33.8M|   0     0 |   0     0 
  4   2  91   3   0   0| 740M 49.4M 1755M 33.9M|   0    52B|   0    64k
  4   2  95   0   0   0| 740M 49.4M 1755M 33.9M|   0     0 |   0     0 
  4   2  94   1   0   0| 740M 49.4M 1755M 33.9M|   0    52B|   0    12k
  4   2  94   0   0   0| 739M 49.4M 1755M 34.0M|   0     0 |   0     0 
  4   1  91   4   0   1| 739M 49.4M 1755M 34.0M|   0    52B|   0     0 
  5  13  83   0   0   0| 739M 49.4M 1755M 34.1M|   0     0 |   0    12k
  3   4  90   4   0   0| 739M 49.4M 1755M 34.2M|   0    52B|   0    32k
  3   2  92   3   0   0| 739M 49.4M 1755M 34.2M|   0     0 |   0    12k
  4   2  94   0   0   0| 739M 49.4M 1755M 34.3M|   0    52B|   0     0 
  4   2  92   3   0   0| 739M 49.4M 1755M 34.3M|   0     0 |   0     0 
  4   2  95   0   0   0| 739M 49.4M 1755M 34.3M|   0    52B|   0     0 
  4   1  95   0   0   0| 740M 49.4M 1752M 37.0M|   0     0 |   0     0 
  4   1  89   7   0   0| 740M 49.4M 1752M 37.0M|   0    52B|   0    28k
  4   1  95   0   0   0| 740M 49.4M 1752M 37.0M|   0     0 |   0     0 
  2   2  92   4   0   0| 740M 49.4M 1752M 37.0M|   0    52B|   0     0 
