[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  2   3  94   2   0   0| 733M 53.1M 1736M 55.6M|   0    52B|   0     0 
  5   1  94   0   0   0| 733M 53.1M 1736M 55.6M|   0     0 |   0     0 
  4   2  95   0   0   0| 733M 53.1M 1736M 55.6M|   0    52B|   0     0 
  4   1  91   4   0   0| 733M 53.1M 1736M 55.6M|   0     0 |   0    12k
  4   2  92   3   0   0| 733M 53.1M 1736M 55.6M|   0    52B|   0    16k
  4   2  95   0   0   0| 733M 53.1M 1736M 55.6M|   0     0 |   0     0 
  4   1  91   4   0   0| 733M 53.1M 1736M 55.6M|   0    52B|   0     0 
  3   2  95   0   0   0| 733M 53.1M 1736M 55.6M|   0     0 |   0     0 
  3   2  92   4   0   0| 733M 53.1M 1736M 55.6M|   0    52B|   0    12k
  4   1  95   0   0   0| 733M 53.1M 1736M 55.6M|   0     0 |   0     0 
  4   2  91   3   0   0| 733M 53.1M 1736M 55.6M|   0    52B|   0    16k
  4   1  92   4   0   0| 733M 53.1M 1736M 55.6M|   0     0 |   0     0 
  5   1  94   0   0   0| 733M 53.1M 1736M 55.6M|   0    52B|   0     0 
  3   2  91   4   0   0| 733M 53.1M 1736M 55.6M|   0     0 |   0    16k
  4   1  95   0   0   0| 733M 53.1M 1736M 55.6M|   0    52B|   0     0 
  4   1  94   1   0   0| 733M 53.1M 1736M 55.6M|   0     0 |   0    12k
  4   1  91   4   0   0| 733M 53.1M 1736M 55.6M|   0    52B|   0  4096B
  4   1  95   0   0   0| 733M 53.1M 1736M 55.6M|   0     0 |   0     0 
  4   2  91   4   0   0| 733M 53.1M 1736M 55.6M|   0    52B|   0    12k
  2   4  94   0   0   0| 733M 53.1M 1736M 55.6M|   0     0 |   0     0 
  3   2  95   0   0   0| 733M 53.1M 1744M 47.6M|   0    52B|   0     0 
  3   2  89   7   0   0| 733M 53.1M 1744M 47.5M|   0     0 |   0    16k
  4   2  94   0   0   0| 733M 53.1M 1744M 47.5M|   0    52B|   0     0 
  4   2  87   8   0   0| 733M 53.1M 1744M 47.5M|   0     0 |   0  8088k
  3   1  94   2   0   1| 733M 53.1M 1744M 47.5M|   0    52B|   0     0 
  4   2  95   0   0   0| 733M 53.1M 1744M 47.5M|   0     0 |   0     0 
  3   2  91   4   0   0| 733M 53.1M 1744M 47.5M|   0    52B|   0     0 
  3   4  94   0   0   0| 733M 53.1M 1744M 47.5M|   0     0 |   0     0 
  3   1  95   1   0   0| 733M 53.1M 1744M 47.5M|   0    52B|   0    32k
  4   1  91   5   0   0| 733M 53.1M 1744M 47.5M|   0     0 |   0  4096B
  4   1  96   0   0   0| 733M 53.1M 1744M 47.4M|   0    52B|   0     0 
  3   3  91   4   0   0| 733M 53.1M 1744M 47.4M|   0     0 |   0     0 
  4   2  94   1   0   0| 733M 53.1M 1744M 47.4M|   0    52B|   0     0 
  3   2  96   0   0   0| 733M 53.1M 1744M 47.4M|   0     0 |   0    12k
  5   1  90   4   0   0| 733M 53.1M 1744M 47.4M|   0    52B|   0    16k
  3   2  95   0   0   0| 733M 53.1M 1744M 47.4M|   0     0 |   0     0 
  2   3  92   4   0   0| 733M 53.1M 1744M 47.4M|   0    52B|   0     0 
  4   2  95   0   0   0| 733M 53.1M 1744M 47.4M|   0     0 |   0     0 
  4   2  94   0   0   1| 733M 53.1M 1744M 47.4M|   0    52B|   0    12k
  4   1  91   4   0   0| 733M 53.1M 1744M 47.4M|   0     0 |   0     0 
  3   1  93   3   0   0| 733M 53.1M 1744M 47.4M|   0    52B|   0    16k
  3   1  93   4   0   0| 733M 53.1M 1744M 47.4M|   0     0 |   0     0 
  4   2  95   0   0   0| 733M 53.1M 1744M 47.4M|   0    52B|   0     0 
  4   3  94   0   0   0| 733M 53.1M 1744M 47.4M|   0     0 |   0    12k
  5   1  91   4   0   0| 733M 53.1M 1744M 47.4M|   0    52B|   0     0 
