[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  8   9  78   2   0   2| 751M 37.8M 1723M 66.1M|   0     0 |  95k  148k
  5   1  88   7   0   0| 751M 37.8M 1723M 66.0M|   0     0 |   0    60k
  7   2  91   0   0   0| 752M 37.8M 1723M 65.9M|   0    52B|   0    32k
  5   3  92   0   0   1| 751M 37.8M 1723M 65.6M|   0     0 |   0     0 
  5  13  81   2   0   0| 753M 37.8M 1723M 64.4M|   0    52B|   0    12k
  3   3  92   3   0   0| 753M 37.8M 1723M 64.4M|   0     0 |   0    88k
  4   2  92   3   0   0| 753M 37.8M 1723M 64.4M|   0    52B|   0     0 
  3   2  95   0   0   0| 753M 37.8M 1723M 64.4M|   0     0 |   0    12k
  3   2  95   0   0   0| 753M 37.8M 1723M 64.4M|   0    52B|   0     0 
  4   2  91   4   0   0| 753M 37.8M 1723M 64.4M|   0     0 |   0     0 
  3   1  96   0   0   0| 753M 37.8M 1723M 64.4M|   0    52B|   0     0 
  4   1  89   6   0   0| 753M 37.8M 1723M 64.4M|   0     0 |   0    48k
  3   2  95   0   0   0| 753M 37.8M 1723M 64.4M|   0    52B|   0    12k
  4   1  95   0   0   0| 753M 37.8M 1724M 63.9M|   0     0 |   0     0 
  4   1  91   4   0   0| 753M 37.8M 1724M 63.9M|   0    52B|   0     0 
  3   3  95   0   0   0| 753M 37.8M 1724M 63.9M|   0     0 |   0     0 
  4   2  91   4   0   0| 753M 37.8M 1723M 64.0M|   0    52B|   0     0 
  3   2  93   3   0   0| 753M 37.8M 1723M 64.0M|   0     0 |   0    28k
  4   2  95   0   0   0| 753M 37.8M 1723M 64.0M|   0    52B|   0     0 
  5   1  90   4   0   0| 753M 37.8M 1702M 84.9M|   0     0 |   0     0 
  3   2  95   0   0   0| 753M 37.8M 1702M 85.0M|   0    52B|   0     0 
  4   2  94   0   0   0| 753M 37.8M 1702M 85.0M|   0     0 |   0     0 
  3   2  86   9   0   0| 753M 37.8M 1702M 85.0M|   0    52B|   0    28k
  4   2  94   0   0   1| 753M 37.8M 1702M 85.0M|   0     0 |   0     0 
  3   2  91   4   0   0| 753M 37.8M 1702M 85.0M|   0    52B|   0     0 
  2   2  96   0   0   0| 753M 37.8M 1702M 85.0M|   0     0 |   0     0 
  4   2  95   0   0   0| 753M 37.8M 1702M 85.0M|   0    52B|   0     0 
  3   1  90   6   0   0| 753M 37.8M 1702M 85.0M|   0     0 |   0    32k
  2   2  96   0   0   0| 753M 37.8M 1702M 85.0M|   0    52B|   0     0 
  4   2  92   2   0   0| 753M 37.8M 1695M 92.6M|   0     0 |   0     0 
  3   1  96   0   0   0| 753M 37.8M 1695M 92.6M|   0    52B|   0     0 
  3   3  94   0   0   0| 753M 37.8M 1703M 83.8M|   0     0 |   0     0 
  3   2  79  16   0   0| 753M 37.8M 1704M 83.8M|   0    52B|   0  9100k
  5   1  94   0   0   0| 753M 37.8M 1704M 83.8M|   0     0 |   0     0 
  4   5  87   4   0   0| 752M 37.8M 1707M 81.2M|   0    52B|   0    12k
  3   2  96   0   0   0| 752M 37.8M 1707M 81.2M|   0     0 |   0     0 
  4   3  94   0   0   0| 752M 37.8M 1707M 81.2M|   0    52B|   0     0 
  4   2  88   7   0   0| 752M 37.8M 1707M 81.2M|   0     0 |   0    48k
  3   2  95   0   0   0| 752M 37.8M 1707M 81.2M|   0    52B|   0     0 
  5   1  92   3   0   0| 753M 37.8M 1703M 84.0M|   0     0 |   0     0 
  4   1  94   2   0   0| 753M 37.8M 1703M 84.0M|   0    52B|   0     0 
  4   2  95   0   0   0| 753M 37.8M 1703M 84.0M|   0     0 |   0     0 
  3   2  92   4   0   0| 753M 37.8M 1703M 84.0M|   0    52B|   0    12k
  4   1  92   3   0   0| 753M 37.8M 1703M 84.0M|   0     0 |   0    16k
  4   2  94   0   0   1| 753M 37.8M 1703M 84.0M|   0    52B|   0     0 
  3   2  92   4   0   0| 753M 37.8M 1703M 84.0M|   0     0 |   0     0 
  3   1  96   0   0   0| 753M 37.8M 1703M 84.0M|   0    52B|   0     0 
  4   2  90   4   0   0| 753M 37.8M 1703M 84.0M|   0     0 |   0    12k
  3   1  96   0   0   0| 753M 37.8M 1703M 84.0M|   0    52B|   0     0 
  3   2  93   2   0   0| 752M 37.8M 1700M 87.1M|   0     0 |   0    16k
  4   2  93   2   0   0| 753M 37.8M 1700M 87.1M|   0    52B|   0     0 
  4   2  94   0   0   0| 752M 37.8M 1700M 87.1M|   0     0 |   0     0 
  4   2  92   3   0   0| 753M 37.8M 1700M 87.0M|   0    52B|   0    16k
  4   1  95   0   0   1| 753M 37.8M 1700M 87.0M|   0     0 |   0     0 
  3   2  93   3   0   0| 753M 37.8M 1700M 87.0M|   0    52B|   0    16k
  3   3  90   4   0   0| 753M 37.8M 1700M 87.0M|   0     0 |   0     0 
  5   4  91   0   0   0| 753M 37.8M 1700M 87.0M|   0    52B|   0     0 
  5   3  87   4   0   0| 752M 37.8M 1703M 84.1M|   0     0 |   0    12k
  5   3  93   0   0   0| 752M 37.8M 1704M 84.1M|   0    52B|   0     0 
  5   2  94   0   0   0| 752M 37.8M 1704M 84.1M|   0     0 |   0     0 
  5   2  86   7   0   0| 752M 37.8M 1704M 84.1M|   0    52B|   0    16k
  5   2  94   0   0   0| 752M 37.8M 1711M 76.4M|   0     0 |   0     0 
  5   3  84   7   0   0| 753M 37.9M 1711M 76.0M|   0    52B|   0  8052k
  9   5  83   4   0   0| 752M 37.9M 1711M 76.0M|   0     0 |   0     0 
 13   7  81   0   0   0| 753M 37.9M 1712M 75.8M|   0    52B|   0    12k
  6   1  89   3   0   0| 752M 37.9M 1712M 75.9M|   0     0 |   0     0 
  5   2  93   0   0   0| 752M 37.9M 1712M 75.9M|   0    52B|   0     0 
  5   2  88   5   0   0| 752M 37.9M 1712M 75.9M|   0     0 |   0    76k
  4   3  89   3   0   0| 752M 37.9M 1712M 75.9M|   0    52B|   0     0 
  4   2  94   0   0   0| 752M 37.9M 1712M 75.9M|   0     0 |   0     0 
  8   3  85   3   0   0| 752M 37.9M 1712M 75.9M|   0    52B|   0     0 
 11   3  86   0   0   0| 752M 37.9M 1712M 75.9M|   0     0 |   0     0 
 10   3  85   2   0   0| 752M 37.9M 1712M 75.9M|   0    52B|   0    28k
  9   2  85   4   0   0| 752M 37.9M 1712M 75.9M|   0     0 |   0     0 
  3   2  95   0   0   0| 752M 37.9M 1712M 75.9M|   0    52B|   0     0 
  4   1  91   4   0   0| 753M 37.9M 1712M 75.8M|   0     0 |   0     0 
  3   2  95   0   0   0| 753M 37.9M 1712M 75.8M|   0    52B|   0     0 
  3   1  96   0   0   0| 752M 37.9M 1712M 75.8M|   0     0 |   0    16k
  4   2  88   7   0   0| 752M 37.9M 1712M 75.8M|   0    52B|   0    16k
  4   1  95   0   0   0| 753M 37.9M 1712M 75.8M|   0     0 |   0     0 
  4   2  91   4   0   0| 753M 37.9M 1712M 75.8M|   0    52B|   0     0 
  4   2  94   0   0   0| 753M 37.9M 1712M 75.8M|   0     0 |   0     0 
  3   2  95   0   0   1| 753M 37.9M 1712M 75.8M|   0    52B|   0    16k
  4   2  91   4   0   0| 753M 37.9M 1712M 75.8M|   0     0 |   0     0 
  4   2  91   3   0   1| 753M 37.9M 1712M 75.8M|   0    52B|   0    16k
  4   1  95   0   0   0| 753M 37.9M 1712M 75.8M|   0     0 |   0     0 
  3   2  91   4   0   1| 753M 37.9M 1712M 75.8M|   0    52B|   0     0 
  3   2  95   0   0   0| 753M 37.9M 1712M 75.8M|   0     0 |   0    12k
  3   2  91   4   0   1| 753M 37.9M 1712M 75.8M|   0    52B|   0     0 
  4   2  95   0   0   0| 753M 37.9M 1709M 78.8M|   0     0 |   0     0 
  3   2  92   3   0   0| 753M 37.9M 1709M 78.8M|   0    52B|   0    16k
  3   3  90   4   0   0| 753M 37.9M 1716M 71.0M|   0     0 |   0     0 
  4   1  88   8   0   0| 753M 37.9M 1716M 71.0M|   0    52B|   0  7992k
  4   2  92   3   0   0| 753M 37.9M 1716M 71.0M|   0     0 |   0     0 
  4  11  85   0   0   0| 752M 37.9M 1719M 68.1M|   0    52B|   0    12k
  3   2  95   0   0   0| 752M 37.9M 1719M 68.1M|   0     0 |   0     0 
  3   2  91   4   0   0| 752M 37.9M 1719M 68.1M|   0    52B|   0     0 
  4   1  93   2   0   0| 752M 37.9M 1719M 68.1M|   0     0 |   0    48k
  4   2  92   3   0   0| 752M 37.9M 1719M 68.1M|   0    52B|   0     0 
  3   2  95   0   0   0| 752M 37.9M 1719M 68.1M|   0     0 |   0     0 
  4   1  95   0   0   0| 752M 37.9M 1719M 68.1M|   0    52B|   0     0 
  7   2  88   4   0   0| 753M 37.9M 1719M 67.9M|   0     0 |   0     0 
  6   2  92   0   0   0| 753M 37.9M 1719M 67.9M|   0    52B|   0    12k
  4   1  91   5   0   0| 753M 37.9M 1719M 67.9M|   0     0 |   0    16k
  4   2  93   1   0   0| 753M 37.9M 1719M 67.9M|   0    52B|   0     0 
  3   2  95   0   0   0| 753M 37.9M 1719M 67.9M|   0     0 |   0     0 
  4   1  91   4   0   0| 753M 37.9M 1719M 67.9M|   0    52B|   0     0 
  3   2  95   0   0   0| 753M 37.9M 1719M 67.9M|   0     0 |   0    16k
  4   2  94   0   0   0| 753M 37.9M 1719M 67.9M|   0    52B|   0     0 
  3   1  90   6   0   0| 753M 37.9M 1716M 70.9M|   0     0 |   0    16k
  3   2  94   0   0   1| 753M 37.9M 1716M 71.0M|   0    52B|   0     0 
  3   3  90   4   0   0| 753M 37.9M 1716M 71.0M|   0     0 |   0     0 
