[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
  3   2  94   0   0   0| 749M 43.6M 1679M  106M|   0     0 |   0     0 
  3   2  88   6   0   1| 749M 43.6M 1679M  106M|   0    52B|   0    16k
  4   2  95   0   0   0| 749M 43.6M 1679M  106M|   0     0 |   0     0 
  3   2  95   0   0   0| 749M 43.6M 1676M  109M|   0    52B|   0     0 
  4   2  91   4   0   0| 749M 43.6M 1676M  109M|   0     0 |   0    16k
  3   1  96   0   0   0| 749M 43.6M 1676M  109M|   0    52B|   0     0 
  4   1  88   7   0   0| 749M 43.6M 1676M  109M|   0     0 |   0    16k
  4   1  95   0   0   0| 749M 43.6M 1676M  109M|   0    52B|   0     0 
  3   2  95   0   0   0| 749M 43.6M 1676M  109M|   0     0 |   0     0 
  2   1  95   2   0   0| 749M 43.6M 1676M  109M|   0    52B|   0    12k
  5   1  94   0   0   0| 749M 43.6M 1676M  109M|   0     0 |   0     0 
  2   1  93   4   0   0| 749M 43.6M 1676M  109M|   0    52B|   0     0 
  4   3  91   3   0   0| 749M 43.6M 1684M  101M|   0     0 |   0    16k
  4   2  94   0   0   1| 749M 43.6M 1684M  101M|   0    52B|   0     0 
  5   9  79   7   0   0| 749M 43.6M 1687M 98.1M|   0     0 |   0  8092k
  4   1  94   0   0   1| 749M 43.6M 1687M 98.1M|   0    52B|   0     0 
  3   2  91   4   0   0| 749M 43.6M 1687M 98.1M|   0     0 |   0     0 
  3   2  95   0   0   0| 749M 43.6M 1687M 98.1M|   0    52B|   0     0 
  4   2  94   0   0   1| 749M 43.6M 1687M 98.1M|   0     0 |   0     0 
  4   1  91   4   0   0| 749M 43.6M 1687M 98.1M|   0    52B|   0    12k
  3   2  92   3   0   0| 749M 43.6M 1687M 98.1M|   0     0 |   0    16k
  4   1  94   1   0   0| 749M 43.6M 1687M 98.1M|   0    52B|   0     0 
  4   2  92   3   0   0| 749M 43.6M 1687M 98.1M|   0     0 |   0     0 
  4   2  94   0   0   0| 749M 43.6M 1687M 98.1M|   0    52B|   0     0 
  4   1  91   4   0   0| 749M 43.6M 1687M 98.1M|   0     0 |   0    16k
  2   3  95   0   0   0| 749M 43.6M 1687M 98.1M|   0    52B|   0     0 
  3   2  92   4   0   0| 749M 43.6M 1687M 98.1M|   0     0 |   0    16k
  4   2  91   4   0   0| 749M 43.6M 1687M 98.1M|   0    52B|   0     0 
  3   2  95   0   0   0| 749M 43.6M 1687M 98.1M|   0     0 |   0     0 
  4   2  91   4   0   0| 749M 43.6M 1687M 98.1M|   0    52B|   0    12k
  4   1  95   0   0   0| 749M 43.6M 1687M 98.1M|   0     0 |   0     0 
  4   2  95   0   0   0| 749M 43.6M 1687M 98.1M|   0    52B|   0     0 
  4   1  91   5   0   0| 749M 43.6M 1687M 98.1M|   0     0 |   0    16k
  5   1  94   0   0   0| 750M 43.6M 1684M  101M|   0    52B|   0     0 
  4   3  89   4   0   0| 750M 43.6M 1684M  101M|   0     0 |   0    28k
  4   1  95   0   0   0| 750M 43.6M 1684M  101M|   0    52B|   0     0 
  4   2  95   0   0   0| 750M 43.6M 1684M  101M|   0     0 |   0     0 
  4   1  91   4   0   0| 750M 43.6M 1684M  101M|   0    52B|   0     0 
  4   2  92   3   0   0| 750M 43.6M 1684M  101M|   0     0 |   0    16k
  4   2  90   4   0   0| 750M 43.6M 1684M  101M|   0    52B|   0    12k
  3   3  95   0   0   0| 750M 43.6M 1684M  101M|   0     0 |   0     0 
