[7l----total-cpu-usage---- ------memory-usage----- -net/total- -dsk/total-
usr sys idl wai hiq siq| used  buff  cach  free| recv  send| read  writ
 16   5  79   0   0   0| 529M  100M  794M 1155M|   0     0 |   0     0 
 15   3  79   4   0   0| 529M  100M  797M 1152M|   0    52B|   0     0 
  4   1  95   0   0   0| 529M  100M  797M 1152M|   0     0 |   0    12k
  2   2  90   6   0   0| 529M  100M  797M 1152M|   0    52B|   0    16k
  4   3  93   0   0   0| 529M  100M  797M 1152M|   0     0 |   0     0 
  4   2  95   0   0   0| 529M  100M  797M 1152M|   0    52B|   0     0 
  3   2  92   4   0   0| 529M  100M  797M 1152M|   0     0 |   0     0 
  4   1  95   0   0   0| 529M  100M  797M 1152M|   0    52B|   0    12k
  3   1  96   0   0   0| 529M  100M  797M 1152M|   0     0 |   0     0 
  3   3  91   4   0   0| 529M  100M  797M 1152M|   0    52B|   0    16k
  3   2  95   0   0   0| 529M  100M  797M 1152M|   0     0 |   0     0 
  4   1  95   0   0   0| 529M  100M  797M 1152M|   0    52B|   0     0 
  3   2  95   1   0   0| 529M  100M  797M 1152M|   0     0 |   0    16k
  3   2  96   0   0   0| 529M  100M  797M 1152M|   0    52B|   0     0 
  3   1  91   4   0   0| 529M  100M  797M 1152M|   0     0 |   0     0 
  4   1  92   3   0   1| 529M  100M  797M 1152M|   0    52B|   0    16k
  4   2  94   0   0   0| 529M  100M  797M 1152M|   0     0 |   0     0 
  3   2  91   4   0   0| 529M  100M  796M 1153M|   0    52B|   0    12k
  3   2  95   0   0   0| 529M  100M  796M 1153M|   0     0 |   0     0 
  4   2  94   0   0   0| 529M  100M  796M 1153M|   0    52B|   0     0 
  4   2  91   4   0   0| 529M  100M  796M 1153M|   0     0 |   0     0 
 14   6  78   3   0   0| 529M  100M  804M 1145M|   0    52B|   0    16k
  9   3  74  14   1   0| 529M  100M  804M 1145M|   0     0 |   0  7920k
 20  12  69   0   0   0| 529M  100M  804M 1145M|   0    52B|   0     0 
  8   3  88   0   0   1| 529M  100M  804M 1145M|   0     0 |   0     0 
  9   5  82   4   0   0| 529M  100M  803M 1146M|   0    52B|  20k    0 
 13   4  83   0   0   0| 529M  100M  803M 1146M|   0     0 |   0     0 
  3   3  88   6   0   0| 529M  100M  803M 1146M|   0    52B|   0    40k
  6   3  90   1   0   0| 529M  100M  803M 1146M|   0     0 |   0     0 
 11   5  84   0   0   0| 529M  100M  809M 1139M|   0    52B|   0     0 
  4   2  90   4   0   0| 529M  100M  810M 1139M|   0     0 |   0     0 
  4   1  95   0   0   0| 529M  100M  810M 1139M|   0    52B|   0     0 
  5   6  85   3   0   1| 529M  100M  810M 1139M|   0     0 |   0    12k
  3   2  93   3   0   0| 529M  100M  810M 1139M|   0    52B|   0    16k
  3   1  95   1   0   0| 529M  100M  810M 1139M|   0     0 |   0     0 
  4   2  91   4   0   0| 529M  100M  810M 1139M|   0    52B|   0     0 
  3   1  96   0   0   0| 529M  100M  810M 1139M|   0     0 |   0     0 
  4   2  91   4   0   0| 529M  100M  810M 1139M|   0    52B|   0    12k
  3   2  95   1   0   0| 529M  100M  810M 1139M|   0   174B|   0     0 
  5   2  90   3   0   1| 529M  100M  810M 1139M|   0    52B|   0    16k
  4   2  91   4   0   0| 529M  100M  810M 1139M|   0     0 |   0     0 
  3   1  96   0   0   0| 529M  100M  810M 1139M|   0    52B|   0     0 
  3   2  94   0   0   0| 529M  100M  810M 1139M|   0     0 |   0    16k
  3   1  92   4   0   0| 529M  100M  810M 1139M|   0    52B|   0     0 
  4   1  95   0   0   0| 529M  100M  810M 1139M|   0     0 |   0     0 
  4   1  89   7   0   0| 529M  100M  810M 1139M|   0    52B|   0    16k
  3   1  96   0   0   0| 529M  100M  810M 1139M|   0     0 |   0     0 
  3   2  95   0   0   0| 529M  100M  797M 1151M|   0    52B|   0    16k
  4   2  90   4   0   0| 529M  100M  797M 1151M|   0     0 |   0     0 
  3   1  96   0   0   0| 529M  100M  797M 1151M|   0    52B|   0     0 
  3   1  91   5   0   0| 529M  100M  797M 1151M|   0     0 |   0     0 
  4   3  90   3   0   1| 529M  100M  805M 1143M|   0    52B|   0    16k
  3   1  87   9   0   0| 529M  100M  805M 1143M|   0     0 |   0  7872k
  5   2  90   4   0   0| 529M  100M  805M 1143M|   0    52B|   0     0 
  3   3  93   2   0   0| 530M  100M  805M 1143M|   0     0 |4096B    0 
  4   1  95   1   0   0| 530M  100M  805M 1143M|   0    52B|   0     0 
  5   1  94   0   0   0| 530M  100M  805M 1143M|   0     0 |   0     0 
  4   1  85  10   0   0| 530M  100M  805M 1143M|   0    52B|   0    84k
  3   2  95   0   0   0| 530M  100M  805M 1143M|   0     0 |   0     0 
  4   1  95   0   0   0| 530M  100M  805M 1143M|   0    52B|   0     0 
  4   2  91   4   0   0| 530M  100M  805M 1143M|   0     0 |   0     0 
  4   2  95   0   0   0| 530M  100M  805M 1143M|   0    52B|   0     0 
  4   2  93   1   0   0| 530M  100M  805M 1143M|   0     0 |   0    24k
  4   1  91   4   0   0| 530M  100M  805M 1143M|   0    52B|   0  4096B
  4   1  95   0   0   0| 530M  100M  805M 1143M|   0     0 |   0     0 
  4   2  91   4   0   0| 530M  100M  805M 1143M|   0    52B|   0     0 
  4   1  95   0   0   0| 530M  100M  805M 1143M|   0     0 |   0     0 
  4   1  95   0   0   0| 530M  100M  802M 1146M|   0    52B|   0    16k
  2   3  89   6   0   0| 530M  100M  802M 1146M|   0     0 |   0    16k
  4   1  95   0   0   0| 530M  100M  802M 1146M|   0    52B|   0     0 
  3   2  91   4   0   0| 530M  100M  802M 1146M|   0     0 |   0     0 
  5   1  94   0   0   0| 530M  100M  802M 1146M|   0    52B|   0     0 
  3   2  96   0   0   0| 530M  100M  802M 1146M|   0     0 |   0    12k
  3   2  90   6   0   0| 530M  100M  802M 1146M|   0    52B|   0    16k
  4   1  96   0   0   0| 530M  100M  802M 1146M|   0     0 |   0     0 
  4   2  92   3   0   0| 530M  100M  802M 1146M|   0    52B|   0     0 
  4   2  94   0   0   0| 530M  100M  802M 1146M|   0     0 |   0     0 
  4   1  95   0   0   0| 530M  100M  802M 1146M|   0    52B|   0    12k
  4   2  88   7   0   0| 530M  100M  802M 1146M|   0     0 | 256k    0 
  5   1  93   2   0   0| 530M  100M  802M 1146M|   0    52B|   0    16k
  4   2  91   4   0   0| 530M  100M  802M 1146M|   0     0 |   0     0 
  4   1  95   0   0   0| 530M  100M  810M 1138M|   0    52B|   0     0 
  4   2  86   8   0   0| 530M  100M  810M 1138M|   0     0 |   0  7952k
  4   1  91   4   0   0| 529M  100M  810M 1138M|   0    52B|   0     0 
  4   2  94   0   0   0| 529M  100M  810M 1138M|   0     0 |   0     0 
  3   2  89   6   0   0| 530M  100M  810M 1138M|   0    52B|   0   128k
  4   2  91   4   0   0| 530M  100M  810M 1138M|   0     0 |   0     0 
  4   1  94   0   0   1| 530M  100M  810M 1138M|   0    52B|   0    12k
  4   2  90   4   0   0| 530M  100M  810M 1138M|   0     0 |   0     0 
  4   2  94   0   0   0| 530M  100M  810M 1138M|   0    52B|   0     0 
  4   1  95   0   0   0| 530M  100M  810M 1138M|   0     0 |   0     0 
  3   3  88   6   0   0| 530M  100M  810M 1138M|   0    52B|   0    52k
  4   1  95   0   0   0| 530M  100M  810M 1138M|   0     0 |   0    16k
  4   2  91   3   0   0| 530M  100M  810M 1138M|   0    52B|   0     0 
  4   2  94   0   0   0| 530M  100M  810M 1138M|   0     0 |   0     0 
  5   4  89   2   0   1| 530M  100M  810M 1138M|   0   159B|   0    20k
  3   2  89   6   0   0| 530M  100M  810M 1138M|   0     0 |   0  4096B
  3   2  95   0   0   0| 530M  100M  807M 1141M|   0    52B|   0    16k
  3   2  93   2   0   0| 529M  100M  807M 1141M|   0     0 |   0     0 
  4   1  94   1   0   0| 529M  100M  807M 1141M|   0    52B|   0     0 
  3   2  95   0   0   0| 530M  100M  807M 1141M|   0     0 |   0     0 
  4   1  89   6   0   0| 530M  100M  807M 1141M|   0    52B|   0    20k
  3   1  96   0   0   0| 530M  100M  807M 1141M|   0     0 |   0    28k
  4   2  93   2   0   0| 530M  100M  807M 1141M|   0    52B|   0     0 
  4   1  93   2   0   0| 530M  100M  807M 1141M|   0     0 |   0     0 
  4   2  95   0   0   0| 530M  100M  807M 1141M|   0    52B|   0     0 
  3   2  90   5   0   0| 530M  100M  807M 1141M|   0     0 |   0    12k
  4   2  93   2   0   0| 530M  100M  807M 1141M|   0    52B|   0    16k
  4   3  93   0   0   0| 530M  100M  807M 1141M|   0     0 |   0     0 
 11   6  79   4   0   0| 529M  100M  807M 1141M|   0    52B|   0     0 
 11   3  86   0   0   0| 529M  100M  807M 1141M|   0     0 |   0     0 
  4   3  89   4   0   0| 529M  100M  815M 1134M|   0    52B|   0     0 
  3   2  86  10   0   0| 529M  100M  815M 1134M|   0     0 |   0  7944k
 15   7  77   0   0   1| 529M  100M  836M 1113M|   0    52B|   0     0 
  8   4  85   4   0   0| 530M  100M  836M 1112M|   0     0 |   0     0 
  2   2  96   0   0   0| 530M  100M  836M 1112M|   0    52B|   0     0 
  4   1  91   4   0   0| 530M  100M  836M 1112M|   0     0 |   0     0 
  4   2  93   2   0   0| 530M  100M  835M 1112M|   0    52B|   0    24k
  4   2  94   1   0   0| 530M  100M  836M 1112M|   0     0 |   0  4096B
  4   1  91   4   0   0| 530M  100M  836M 1112M|   0    52B|   0     0 
  3   2  95   0   0   0| 530M  100M  836M 1112M|   0     0 |   0     0 
  3   2  95   0   0   0| 530M  100M  836M 1112M|   0    52B|   0     0 
  3   3  94   0   0   0| 530M  100M  836M 1112M|   0     0 |   0    16k
  3   1  90   6   0   0| 530M  100M  836M 1112M|   0    52B|   0    16k
  4   2  94   1   0   0| 530M  100M  836M 1112M|   0     0 |   0     0 
  5   3  93   0   0   0| 530M  100M  836M 1112M|   0    52B|   0     0 
  4   2  91   4   0   0| 530M  100M  836M 1112M|   0     0 |   0     0 
  5   1  94   0   0   0| 530M  100M  835M 1112M|   0    52B|   0    12k
  4   2  95   0   0   0| 530M  100M  835M 1112M|   0     0 |   0     0 
  4   1  89   6   0   0| 530M  100M  835M 1112M|   0    52B|   0    16k
  3   2  96   0   0   0| 530M  100M  835M 1112M|   0     0 |   0     0 
  2   3  91   4   0   0| 530M  100M  835M 1112M|   0    52B|   0     0 
  3   2  95   0   0   0| 530M  100M  835M 1112M|   0     0 |   0    12k
  3   1  96   0   0   0| 530M  100M  835M 1112M|   0    52B|   0     0 
  3   1  92   4   0   0| 530M  100M  835M 1112M|   0     0 |   0     0 
  4   2  93   2   0   0| 530M  100M  835M 1112M|   0    52B|   0    16k
  4   2  91   4   0   1| 530M  100M  835M 1112M|   0     0 |   0     0 
  3   2  95   0   0   0| 530M  100M  811M 1136M|   0    52B|   0    12k
  5   2  94   0   0   0| 530M  100M  811M 1136M|   0     0 |   0     0 
  3   1  92   4   0   0| 530M  100M  811M 1136M|   0    52B|   0     0 
  4   1  95   0   0   0| 530M  100M  811M 1136M|   0     0 |   0     0 
  4   2  90   4   0   0| 530M  100M  819M 1128M|   0    52B|   0    16k
  3   1  87   9   0   0| 530M  100M  819M 1128M|   0     0 |   0  7948k
  3   2  95   0   0   0| 530M  100M  819M 1128M|   0    52B|   0     0 
  4   2  91   4   0   0| 530M  100M  819M 1128M|   0     0 |   0     0 
  3   2  95   0   0   0| 530M  100M  819M 1128M|   0    52B|   0     0 
  4   2  94   2   0   0| 530M  100M  819M 1128M|   0     0 |   0     0 
